Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111178104,Sonia by Sonia Rykiel,81129224-14D,110 OPTIC,weiß,40,Da Jacke Pop,19,329.00,0,142,
2011111136838,Sonia by Sonia Rykiel,89625548 - 46,469 NIGHT,blau,L,Da Jacke Pop,19,289.00,0,133,
2011111136821,Sonia by Sonia Rykiel,89625548 - 46,469 NIGHT,blau,M,Da Jacke Pop,19,289.00,0,133,
2011111136814,Sonia by Sonia Rykiel,89625548 - 46,469 NIGHT,blau,S,Da Jacke Pop,19,289.00,0,133,
2011111153989,Sonia by Sonia Rykiel,89750550-IA,661,,M,Da Jacke Pop,19,499.00,0,134,
2011111153972,Sonia by Sonia Rykiel,89750550-IA,661,,S,Da Jacke Pop,19,499.00,0,134,
2011111178142,Sonia by Sonia Rykiel,81145118-17A,414 DENIM,blau,38,Da Jacke Wolle,19,279.00,0,142,
2011111178159,Sonia by Sonia Rykiel,81145118-17A,414 DENIM,blau,40,Da Jacke Wolle,19,279.00,1,142,
2011111178166,Sonia by Sonia Rykiel,81145118-17A,414 DENIM,blau,42,Da Jacke Wolle,19,279.00,0,142,
2011111153729,Sonia by Sonia Rykiel,89170225-JA,348,braun,L,Da Jacke Wolle,19,209.00,0,134,
2011111153712,Sonia by Sonia Rykiel,89170225-JA,348,braun,M,Da Jacke Wolle,19,209.00,0,134,
2011111153705,Sonia by Sonia Rykiel,89170225-JA,348,braun,S,Da Jacke Wolle,19,209.00,0,134,
2011111161984,Sonia by Sonia Rykiel,81930504-6,BLACK/BLACK - 004,schwarz,36,Da Mantel Pop,19,459.00,0,141,
2011111161991,Sonia by Sonia Rykiel,81930504-6,BLACK/BLACK - 004,schwarz,38,Da Mantel Pop,19,459.00,1,141,
2011111153835,Sonia by Sonia Rykiel,89170551-JD,299,,L,Da Mantel Wolle,19,519.00,1,134,
2011111153828,Sonia by Sonia Rykiel,89170551-JD,299,,M,Da Mantel Wolle,19,519.00,0,134,
2011111153811,Sonia by Sonia Rykiel,89170551-JD,299,,S,Da Mantel Wolle,19,519.00,0,134,
2011111111576,Sonia by Sonia Rykiel,13E88126501-6,001,schwarz,38,Da Strickmantel,19,560.00,0,131,
2011111111583,Sonia by Sonia Rykiel,13E88126501-6,001,schwarz,40,Da Strickmantel,19,560.00,0,131,
2011111111590,Sonia by Sonia Rykiel,13E88126501-6,001,schwarz,42,Da Strickmantel,19,560.00,0,131,
2011111111378,Sonia by Sonia Rykiel,13E88251550-AC,001,schwarz,L,Da Strickmantel,19,350.00,0,131,
2011111111361,Sonia by Sonia Rykiel,13E88251550-AC,001,schwarz,M,Da Strickmantel,19,350.00,0,131,
2011111111354,Sonia by Sonia Rykiel,13E88251550-AC,001,schwarz,S,Da Strickmantel,19,350.00,0,131,
2011111111385,Sonia by Sonia Rykiel,13E88251550-AC,001,schwarz,XL,Da Strickmantel,19,350.00,0,131,
2011111111835,Sonia by Sonia Rykiel,13E88440410-14,543,grün,36,Da Kleid lang,19,330.00,0,131,
2011111111842,Sonia by Sonia Rykiel,13E88440410-14,543,grün,38,Da Kleid lang,19,330.00,0,131,
